3♢,4♢,5♢,A♢,2♢
3♣,4♣,5♣,A♣,2♣
3♡,4♡,5♡,A♡,2♡
3♠,4♠,5♠,A♠,2♠
3♢,4♢,5♢,6♢,2♢
3♣,4♣,5♣,6♣,2♣
3♡,4♡,5♡,6♡,2♡
3♠,4♠,5♠,6♠,2♠
3♢,4♢,5♢,6♢,7♢
3♣,4♣,5♣,6♣,7♣
3♡,4♡,5♡,6♡,7♡
3♠,4♠,5♠,6♠,7♠
4♢,5♢,6♢,7♢,8♢
4♣,5♣,6♣,7♣,8♣
4♡,5♡,6♡,7♡,8♡
4♠,5♠,6♠,7♠,8♠
5♢,6♢,7♢,8♢,9♢
5♣,6♣,7♣,8♣,9♣
5♡,6♡,7♡,8♡,9♡
5♠,6♠,7♠,8♠,9♠
6♢,7♢,8♢,9♢,T♢
6♣,7♣,8♣,9♣,T♣
6♡,7♡,8♡,9♡,T♡
6♠,7♠,8♠,9♠,T♠
7♢,8♢,9♢,T♢,J♢
7♣,8♣,9♣,T♣,J♣
7♡,8♡,9♡,T♡,J♡
7♠,8♠,9♠,T♠,J♠
8♢,9♢,T♢,J♢,Q♢
8♣,9♣,T♣,J♣,Q♣
8♡,9♡,T♡,J♡,Q♡
8♠,9♠,T♠,J♠,Q♠
9♢,T♢,J♢,Q♢,K♢
9♣,T♣,J♣,Q♣,K♣
9♡,T♡,J♡,Q♡,K♡
9♠,T♠,J♠,Q♠,K♠
T♢,J♢,Q♢,K♢,A♢
T♣,J♣,Q♣,K♣,A♣
T♡,J♡,Q♡,K♡,A♡
T♠,J♠,Q♠,K♠,A♠
